airport_id,iata_code,airport_name,city,country,timezone
AP0097,DSC,John F. Kennedy International Airport,Sydney,Australia,Australia/Sydney
AP0098,DTF,Los Angeles International Airport,Paris,France,Europe/Paris
AP0099,DUI,O'Hare International Airport,Frankfurt,Germany,Europe/Berlin
AP0100,DVL,Heathrow Airport,Dubai,United Arab Emirates,Asia/Dubai
AP0101,DWO,Gatwick Airport,New York,United States,America/New_York
AP0102,DXR,Haneda Airport,Chicago,United States,America/Chicago
AP0103,DYU,Narita International Airport,Incheon,South Korea,Asia/Seoul
AP0104,DZX,Singapore Changi Airport,Sepang,Malaysia,Asia/Kuala_Lumpur
AP0105,EAA,Suvarnabhumi Airport,Hong Kong,Hong Kong,Asia/Hong_Kong
AP0106,EBD,Dubai International Airport,Bangkok,Thailand,Asia/Bangkok
AP0107,ECG,Frankfurt Airport,Bangkok,Thailand,Asia/Bangkok
AP0108,EDJ,Charles de Gaulle Airport,Tokyo,Japan,Asia/Tokyo
AP0109,EEM,Amsterdam Schiphol Airport,Narita,Japan,Asia/Tokyo
AP0110,EFP,Sydney Airport,Singapore,Singapore,Asia/Singapore
AP0111,EGS,Melbourne Airport,Los Angeles,United States,America/Los_Angeles
AP0112,EHV,Indira Gandhi International Airport,Sydney,Australia,Australia/Sydney
AP0113,EIY,John F. Kennedy International Airport,Paris,France,Europe/Paris
AP0114,EJB,Los Angeles International Airport,Frankfurt,Germany,Europe/Berlin
AP0115,EKE,O'Hare International Airport,Dubai,United Arab Emirates,Asia/Dubai
AP0116,ELH,Heathrow Airport,New York,United States,America/New_York
AP0117,EMK,Gatwick Airport,Chicago,United States,America/Chicago
AP0118,ENN,Haneda Airport,Incheon,South Korea,Asia/Seoul
AP0119,EOQ,Narita International Airport,Sepang,Malaysia,Asia/Kuala_Lumpur
AP0120,EPT,Singapore Changi Airport,Hong Kong,Hong Kong,Asia/Hong_Kong
AP0121,EQW,Suvarnabhumi Airport,Bangkok,Thailand,Asia/Bangkok
AP0122,ERZ,Dubai International Airport,Bangkok,Thailand,Asia/Bangkok
AP0123,ESC,Frankfurt Airport,Tokyo,Japan,Asia/Tokyo
AP0124,ETF,Charles de Gaulle Airport,Narita,Japan,Asia/Tokyo
AP0125,EUI,Amsterdam Schiphol Airport,Singapore,Singapore,Asia/Singapore
AP0126,EVL,Sydney Airport,Los Angeles,United States,America/Los_Angeles
AP0127,EWO,Melbourne Airport,Sydney,Australia,Australia/Sydney
AP0128,EXR,Indira Gandhi International Airport,Paris,France,Europe/Paris
AP0129,EYU,John F. Kennedy International Airport,Frankfurt,Germany,Europe/Berlin
AP0130,EZX,Los Angeles International Airport,Dubai,United Arab Emirates,Asia/Dubai
AP0131,FAA,O'Hare International Airport,New York,United States,America/New_York
AP0132,FBD,Heathrow Airport,Chicago,United States,America/Chicago
AP0133,FCG,Gatwick Airport,Incheon,South Korea,Asia/Seoul
AP0134,FDJ,Haneda Airport,Sepang,Malaysia,Asia/Kuala_Lumpur
AP0135,FEM,Narita International Airport,Hong Kong,Hong Kong,Asia/Hong_Kong
AP0136,FFP,Singapore Changi Airport,Bangkok,Thailand,Asia/Bangkok
AP0137,FGS,Suvarnabhumi Airport,Bangkok,Thailand,Asia/Bangkok
AP0138,FHV,Dubai International Airport,Tokyo,Japan,Asia/Tokyo
AP0139,FIY,Frankfurt Airport,Narita,Japan,Asia/Tokyo
AP0140,FJB,Charles de Gaulle Airport,Singapore,Singapore,Asia/Singapore
AP0141,FKE,Amsterdam Schiphol Airport,Los Angeles,United States,America/Los_Angeles
AP0142,FLH,Sydney Airport,Sydney,Australia,Australia/Sydney
AP0143,FMK,Melbourne Airport,Paris,France,Europe/Paris
AP0144,FNN,Indira Gandhi International Airport,Frankfurt,Germany,Europe/Berlin
AP0145,FOQ,John F. Kennedy International Airport,Dubai,United Arab Emirates,Asia/Dubai
AP0146,FPT,Los Angeles International Airport,New York,United States,America/New_York
AP0147,FQW,O'Hare International Airport,Chicago,United States,America/Chicago
AP0148,FRZ,Heathrow Airport,Incheon,South Korea,Asia/Seoul
AP0149,FSC,Gatwick Airport,Sepang,Malaysia,Asia/Kuala_Lumpur
AP0150,FTF,Haneda Airport,Hong Kong,Hong Kong,Asia/Hong_Kong
