ticket_id,ticket_no,passenger_id,flight_id,seat,class,price_usd,booking_date,statuss
T0000028,TK4028,P000092,FL000028,41D,Economy,1337,1/28/2024,Booked
T0000029,TK4029,P003552,FL000029,44B,Economy,1788,1/29/2024,Booked
T0000030,TK4030,P001236,FL000030,29B,Economy,1237,1/30/2024,Cancelled
T0000031,TK4031,P003168,FL000031,52D,Economy,6541,1/31/2024,Booked
T0000032,TK4032,P002433,FL000032,13D,Economy,2961,2/1/2024,Booked
T0000033,TK4033,P000899,FL000033,9E,Economy,822,2/2/2024,Booked
T0000034,TK4034,P004745,FL000034,1D,Business,7026,2/3/2024,Booked
T0000035,TK4035,P000525,FL000035,29E,Premium Economy,1504,2/4/2024,Booked
T0000036,TK4036,P000937,FL000036,17D,Economy,5365,2/5/2024,Booked
T0000037,TK4037,P003380,FL000037,25C,Economy,2182,2/6/2024,Cancelled
T0000038,TK4038,P001376,FL000038,40B,Economy,1031,2/7/2024,Booked
T0000039,TK4039,P003687,FL000039,2F,Premium Economy,7469,2/8/2024,Booked
T0000040,TK4040,P000997,FL000040,48C,Economy,6232,2/9/2024,Booked
T0000041,TK4041,P002194,FL000041,57B,Premium Economy,8698,2/10/2024,Booked
T0000042,TK4042,P000044,FL000042,8D,Premium Economy,5777,2/11/2024,Checked-In
T0000043,TK4043,P000217,FL000043,45E,Economy,969,2/12/2024,Booked
T0000044,TK4044,P000313,FL000044,10E,Economy,1229,2/13/2024,Booked
T0000045,TK4045,P000076,FL000045,12A,Economy,3499,2/14/2024,Booked
T0000046,TK4046,P000222,FL000046,22F,Economy,732,2/15/2024,Checked-In
T0000047,TK4047,P000096,FL000047,28A,Economy,3679,2/16/2024,Booked
T0000048,TK4048,P000286,FL000048,26F,Economy,930,2/17/2024,Checked-In
T0000049,TK4049,P001540,FL000049,32E,Premium Economy,3596,2/18/2024,Booked
T0000050,TK4050,P000492,FL000050,12C,Premium Economy,3779,2/19/2024,Booked
T0000051,TK4051,P000505,FL000051,3C,Economy,1308,2/20/2024,Cancelled
T0000052,TK4052,P000200,FL000052,18C,Economy,6037,2/21/2024,Booked
T0000053,TK4053,P000260,FL000053,24F,Economy,1390,2/22/2024,Booked
T0000054,TK4054,P004399,FL000054,5F,Economy,5585,2/23/2024,Booked
T0000055,TK4055,P001657,FL000055,54E,Economy,1787,2/24/2024,Cancelled
T0000056,TK4056,P001287,FL000056,11C,Economy,5121,2/25/2024,Booked
T0000057,TK4057,P000163,FL000057,27A,Economy,2702,2/26/2024,Booked
T0000058,TK4058,P002427,FL000058,25E,Premium Economy,9939,2/27/2024,Cancelled
T0000059,TK4059,P000156,FL000059,12F,Economy,1169,2/28/2024,Booked
T0000060,TK4060,P000527,FL000060,54A,Economy,4319,2/29/2024,Booked
T0000061,TK4061,P004901,FL000061,57E,Business,19176,3/1/2024,Booked
T0000062,TK4062,P001580,FL000062,28C,Economy,4978,3/2/2024,Booked
T0000063,TK4063,P000948,FL000063,36D,Economy,4353,3/3/2024,Booked
T0000064,TK4064,P002004,FL000064,53F,Economy,5325,3/4/2024,Booked
T0000065,TK4065,P003508,FL000065,55D,Economy,5633,3/5/2024,Booked
T0000066,TK4066,P002872,FL000066,55C,Economy,2187,3/6/2024,Booked
T0000067,TK4067,P000218,FL000067,5A,Premium Economy,9039,3/7/2024,Booked
T0000068,TK4068,P000031,FL000068,47A,Economy,1298,3/8/2024,Cancelled
T0000069,TK4069,P000375,FL000069,55A,Economy,4820,3/9/2024,Booked
T0000070,TK4070,P000261,FL000070,11B,Economy,5042,3/10/2024,Booked
T0000071,TK4071,P000201,FL000071,56D,Economy,740,3/11/2024,Booked
T0000072,TK4072,P004458,FL000072,23B,Economy,1592,3/12/2024,Booked
T0000073,TK4073,P003826,FL000073,58C,Premium Economy,4856,3/13/2024,Booked
T0000074,TK4074,P000373,FL000074,7A,Premium Economy,2129,3/14/2024,Booked
T0000075,TK4075,P001727,FL000075,12C,Economy,5145,3/15/2024,Booked
T0000076,TK4076,P000565,FL000076,56F,Business,26611,3/16/2024,Booked
T0000077,TK4077,P004189,FL000077,11B,Economy,5076,3/17/2024,Booked
T0000078,TK4078,P000715,FL000078,5D,Premium Economy,6344,3/18/2024,Booked
T0000079,TK4079,P000255,FL000079,9D,Economy,5738,3/19/2024,Booked
T0000080,TK4080,P000235,FL000080,44F,Economy,774,3/20/2024,Booked
T0000081,TK4081,P000959,FL000081,17D,Business,10751,3/21/2024,Booked
T0000082,TK4082,P000250,FL000082,6A,Economy,6039,3/22/2024,Booked
T0000083,TK4083,P001054,FL000083,13B,Economy,4833,3/23/2024,Booked
T0000084,TK4084,P004030,FL000084,41E,Economy,4516,3/24/2024,Booked
T0000085,TK4085,P000574,FL000085,32F,Economy,3596,3/25/2024,Booked
T0000086,TK4086,P000209,FL000086,31C,Premium Economy,7686,3/26/2024,Booked
T0000087,TK4087,P004977,FL000087,59F,Economy,3791,3/27/2024,Checked-In
T0000088,TK4088,P000836,FL000088,22C,Economy,931,3/28/2024,Booked
T0000089,TK4089,P000087,FL000089,24B,Business,6769,3/29/2024,Booked
T0000090,TK4090,P000045,FL000090,36D,Business,14318,3/30/2024,Booked
T0000091,TK4091,P000105,FL000091,26F,Premium Economy,10018,3/31/2024,Booked
T0000092,TK4092,P001461,FL000092,56D,Premium Economy,7079,4/1/2024,Booked
T0000093,TK4093,P003025,FL000093,37B,Economy,5280,4/2/2024,Booked
T0000094,TK4094,P000628,FL000094,49E,Premium Economy,9402,4/3/2024,Booked
T0000095,TK4095,P000061,FL000095,31F,Economy,5600,4/4/2024,Checked-In
T0000096,TK4096,P000532,FL000096,59A,Business,21075,4/5/2024,Cancelled
T0000097,TK4097,P004964,FL000097,51A,Economy,4756,4/6/2024,Booked
T0000098,TK4098,P000882,FL000098,33B,Economy,4249,4/7/2024,Booked
T0000099,TK4099,P004726,FL000099,45A,Economy,3352,4/8/2024,Booked
T0000100,TK4100,P003678,FL000100,1E,Business,17164,4/9/2024,Booked
T0000101,TK4101,P000011,FL000101,4C,Economy,2575,4/10/2024,Booked
T0000102,TK4102,P002347,FL000102,23A,Economy,1794,4/11/2024,Booked
T0000103,TK4103,P001977,FL000103,30F,Business,20843,4/12/2024,Booked
T0000104,TK4104,P000901,FL000104,22B,Economy,1871,4/13/2024,Booked
T0000105,TK4105,P000259,FL000105,47C,Economy,1932,4/14/2024,Booked
T0000106,TK4106,P001590,FL000106,17F,Economy,3980,4/15/2024,Booked
T0000107,TK4107,P000106,FL000107,45E,Business,8083,4/16/2024,Booked
T0000108,TK4108,P000658,FL000108,23E,Economy,1991,4/17/2024,Cancelled
T0000109,TK4109,P000703,FL000109,57B,Economy,1671,4/18/2024,Booked
T0000110,TK4110,P004562,FL000110,39E,Economy,4748,4/19/2024,Booked
T0000111,TK4111,P003821,FL000111,3F,Economy,519,4/20/2024,Booked
T0000112,TK4112,P000251,FL000112,16A,Business,2997,4/21/2024,Checked-In
T0000113,TK4113,P000814,FL000113,47B,Economy,5376,4/22/2024,Booked
T0000114,TK4114,P000170,FL000114,24F,Economy,5658,4/23/2024,Booked
T0000115,TK4115,P004170,FL000115,52F,Economy,6215,4/24/2024,Booked
T0000116,TK4116,P003770,FL000116,38A,Economy,1200,4/25/2024,Checked-In
T0000117,TK4117,P000334,FL000117,59E,Economy,4175,4/26/2024,Booked
T0000118,TK4118,P001571,FL000118,41D,Premium Economy,8260,4/27/2024,Cancelled
T0000119,TK4119,P001286,FL000119,31E,Premium Economy,11394,4/28/2024,Cancelled
T0000120,TK4120,P000146,FL000120,36F,Economy,1882,4/29/2024,Checked-In
T0000121,TK4121,P002744,FL000121,13B,Economy,1123,4/30/2024,Booked
T0000122,TK4122,P000907,FL000122,11D,Economy,3805,5/1/2024,Booked
T0000123,TK4123,P002897,FL000123,39A,Economy,3280,5/2/2024,Booked
T0000124,TK4124,P000885,FL000124,45C,Economy,2158,5/3/2024,Booked
T0000125,TK4125,P000001,FL000125,32E,Premium Economy,8783,5/4/2024,Booked
T0000126,TK4126,P000395,FL000126,29E,Economy,5541,5/5/2024,Booked
T0000127,TK4127,P000019,FL000127,47F,Economy,5637,5/6/2024,Booked
T0000128,TK4128,P004327,FL000128,23B,Premium Economy,8857,5/7/2024,Checked-In
T0000129,TK4129,P003848,FL000129,37B,Economy,4358,5/8/2024,Booked
T0000130,TK4130,P003401,FL000130,39A,Economy,1193,5/9/2024,Booked
T0000131,TK4131,P000356,FL000131,50D,Economy,5834,5/10/2024,Booked
T0000132,TK4132,P000056,FL000132,43C,Economy,1987,5/11/2024,Cancelled
T0000133,TK4133,P003842,FL000133,6C,Economy,2113,5/12/2024,Checked-In
T0000134,TK4134,P004497,FL000134,58E,Premium Economy,1817,5/13/2024,Checked-In
T0000135,TK4135,P000082,FL000135,7A,Economy,1064,5/14/2024,Booked
T0000136,TK4136,P000780,FL000136,56D,Premium Economy,10361,5/15/2024,Booked
T0000137,TK4137,P000066,FL000137,54E,Premium Economy,1836,5/16/2024,Booked
T0000138,TK4138,P002726,FL000138,40F,Economy,1954,5/17/2024,Booked
T0000139,TK4139,P002776,FL000139,4A,Economy,5532,5/18/2024,Booked
T0000140,TK4140,P000122,FL000140,58B,Economy,1127,5/19/2024,Booked
T0000141,TK4141,P000754,FL000141,42A,Premium Economy,4635,5/20/2024,Booked
T0000142,TK4142,P000931,FL000142,12D,Business,10475,5/21/2024,Checked-In
T0000143,TK4143,P000255,FL000143,42F,Economy,985,5/22/2024,Booked
T0000144,TK4144,P003789,FL000144,4F,Economy,1048,5/23/2024,Cancelled
T0000145,TK4145,P000630,FL000145,56C,Economy,4798,5/24/2024,Booked
T0000146,TK4146,P000202,FL000146,49B,Economy,3570,5/25/2024,Booked
T0000147,TK4147,P000906,FL000147,9F,Economy,4145,5/26/2024,Booked
T0000148,TK4148,P002435,FL000148,52A,Economy,2087,5/27/2024,Booked
T0000149,TK4149,P000192,FL000149,58E,Economy,2801,5/28/2024,Booked
T0000150,TK4150,P000366,FL000150,26F,Economy,1652,5/29/2024,Booked
T0000151,TK4151,P004954,FL000151,15A,Economy,6606,5/30/2024,Booked
T0000152,TK4152,P001674,FL000152,13C,Economy,1612,5/31/2024,Checked-In
T0000153,TK4153,P000666,FL000153,56C,Economy,1722,6/1/2024,Checked-In
T0000154,TK4154,P000855,FL000154,25B,Economy,1323,6/2/2024,Checked-In
T0000155,TK4155,P000115,FL000155,20B,Business,26081,6/3/2024,Checked-In
T0000156,TK4156,P000214,FL000156,4B,Economy,5880,6/4/2024,Cancelled
T0000157,TK4157,P000428,FL000157,35A,Economy,1610,6/5/2024,Booked
T0000158,TK4158,P001089,FL000158,18F,Economy,5493,6/6/2024,Booked
T0000159,TK4159,P000219,FL000159,14F,Economy,1152,6/7/2024,Booked
T0000160,TK4160,P000210,FL000160,16B,Economy,4990,6/8/2024,Booked
T0000161,TK4161,P000068,FL000161,60C,Premium Economy,2743,6/9/2024,Booked
T0000162,TK4162,P001496,FL000162,23C,Economy,1160,6/10/2024,Booked
T0000163,TK4163,P000218,FL000163,17D,Economy,5388,6/11/2024,Booked
T0000164,TK4164,P004102,FL000164,46E,Economy,1257,6/12/2024,Booked
T0000165,TK4165,P003667,FL000165,14F,Economy,752,6/13/2024,Checked-In
T0000166,TK4166,P000068,FL000166,42E,Business,2167,6/14/2024,Booked
T0000167,TK4167,P000227,FL000167,6D,Economy,2334,6/15/2024,Cancelled
T0000168,TK4168,P001856,FL000168,26C,Premium Economy,4618,6/16/2024,Booked
T0000169,TK4169,P000204,FL000169,8E,Economy,4839,6/17/2024,Booked
T0000170,TK4170,P000126,FL000170,14B,Economy,4690,6/18/2024,Booked
T0000171,TK4171,P004388,FL000171,29B,Economy,759,6/19/2024,Checked-In
T0000172,TK4172,P000982,FL000172,16A,Economy,1207,6/20/2024,Booked
T0000173,TK4173,P000748,FL000173,10C,Economy,883,6/21/2024,Booked
T0000174,TK4174,P002954,FL000174,21E,Economy,2355,6/22/2024,Booked
T0000175,TK4175,P003172,FL000175,2A,Economy,5852,6/23/2024,Checked-In
T0000176,TK4176,P000181,FL000176,7C,Premium Economy,4568,6/24/2024,Checked-In
T0000177,TK4177,P000093,FL000177,18E,Business,13943,6/25/2024,Cancelled
T0000178,TK4178,P000649,FL000178,3C,Economy,6277,6/26/2024,Booked
T0000179,TK4179,P000631,FL000179,4C,Premium Economy,1718,6/27/2024,Booked
T0000180,TK4180,P000735,FL000180,3E,Premium Economy,3474,6/28/2024,Booked
T0000181,TK4181,P002427,FL000181,44D,Premium Economy,8548,6/29/2024,Booked
T0000182,TK4182,P001897,FL000182,2E,Premium Economy,1327,6/30/2024,Cancelled
T0000183,TK4183,P004850,FL000183,37D,Economy,1456,7/1/2024,Cancelled
T0000184,TK4184,P000094,FL000184,15A,Economy,5664,7/2/2024,Cancelled
T0000185,TK4185,P000582,FL000185,46F,Premium Economy,1942,7/3/2024,Booked
T0000186,TK4186,P000431,FL000186,43A,Economy,5139,7/4/2024,Checked-In
T0000187,TK4187,P003686,FL000187,52A,Business,8544,7/5/2024,Booked
T0000188,TK4188,P000237,FL000188,53B,Economy,1935,7/6/2024,Booked
T0000189,TK4189,P000181,FL000189,25B,Premium Economy,3878,7/7/2024,Booked
T0000190,TK4190,P000691,FL000190,55F,Economy,1038,7/8/2024,Checked-In
T0000191,TK4191,P000627,FL000191,52E,Economy,1987,7/9/2024,Checked-In
T0000192,TK4192,P000287,FL000192,23E,Economy,5465,7/10/2024,Checked-In
T0000193,TK4193,P000238,FL000193,23B,Economy,3016,7/11/2024,Booked
T0000194,TK4194,P004272,FL000194,32F,Economy,3495,7/12/2024,Booked
T0000195,TK4195,P000678,FL000195,35F,Economy,2539,7/13/2024,Checked-In
T0000196,TK4196,P003683,FL000196,38E,Economy,4167,7/14/2024,Checked-In
T0000197,TK4197,P000933,FL000197,54B,Economy,6111,7/15/2024,Booked
T0000198,TK4198,P000049,FL000198,48D,Economy,4044,7/16/2024,Booked
T0000199,TK4199,P004994,FL000199,55F,Economy,2005,7/17/2024,Checked-In
T0000200,TK4200,P003443,FL000200,60E,Economy,6320,7/18/2024,Booked
T0000201,TK4201,P004706,FL000201,14A,Premium Economy,1381,7/19/2024,Booked
T0000202,TK4202,P004301,FL000202,43C,Economy,980,7/20/2024,Checked-In
T0000203,TK4203,P003563,FL000203,58F,Economy,5308,7/21/2024,Checked-In
T0000204,TK4204,P000158,FL000204,46F,Premium Economy,1615,7/22/2024,Booked
T0000205,TK4205,P000779,FL000205,27D,Economy,5379,7/23/2024,Booked
T0000206,TK4206,P000204,FL000206,40A,Economy,3964,7/24/2024,Checked-In
T0000207,TK4207,P000578,FL000207,33C,Economy,5540,7/25/2024,Checked-In
T0000208,TK4208,P000056,FL000208,1D,Economy,1742,7/26/2024,Booked
T0000209,TK4209,P000526,FL000209,10C,Economy,1404,7/27/2024,Booked
T0000210,TK4210,P004861,FL000210,27A,Economy,4947,7/28/2024,Booked
T0000211,TK4211,P000255,FL000211,47C,Economy,1526,7/29/2024,Booked
T0000212,TK4212,P002949,FL000212,21F,Business,9522,7/30/2024,Booked
T0000213,TK4213,P000706,FL000213,53A,Economy,1718,7/31/2024,Booked
T0000214,TK4214,P000630,FL000214,56D,Business,3704,8/1/2024,Cancelled
T0000215,TK4215,P004595,FL000215,39C,Economy,2040,8/2/2024,Booked
T0000216,TK4216,P004957,FL000216,2A,Economy,2017,8/3/2024,Booked
T0000217,TK4217,P000945,FL000217,54A,Economy,4673,8/4/2024,Booked
T0000218,TK4218,P002325,FL000218,34E,Economy,5186,8/5/2024,Booked
T0000219,TK4219,P000148,FL000219,52D,Economy,3077,8/6/2024,Booked
T0000220,TK4220,P000330,FL000220,35F,Economy,956,8/7/2024,Booked
T0000221,TK4221,P004703,FL000221,55A,Business,2898,8/8/2024,Booked
T0000222,TK4222,P001003,FL000222,6E,Economy,1572,8/9/2024,Booked
T0000223,TK4223,P000913,FL000223,24F,Economy,4823,8/10/2024,Checked-In
T0000224,TK4224,P002606,FL000224,3B,Economy,1695,8/11/2024,Checked-In
T0000225,TK4225,P000055,FL000225,51F,Business,8582,8/12/2024,Checked-In
T0000226,TK4226,P001050,FL000226,9B,Economy,5571,8/13/2024,Booked
T0000227,TK4227,P000820,FL000227,26C,Economy,5471,8/14/2024,Cancelled
T0000228,TK4228,P003601,FL000228,33B,Economy,5759,8/15/2024,Checked-In
T0000229,TK4229,P000150,FL000229,59B,Economy,1024,8/16/2024,Booked
T0000230,TK4230,P004628,FL000230,25E,Premium Economy,7255,8/17/2024,Booked
T0000231,TK4231,P000077,FL000231,24B,Economy,5107,8/18/2024,Booked
T0000232,TK4232,P000177,FL000232,9A,Economy,5183,8/19/2024,Booked
T0000233,TK4233,P001153,FL000233,43C,Economy,4895,8/20/2024,Booked
T0000234,TK4234,P001915,FL000234,45D,Economy,4526,8/21/2024,Booked
T0000235,TK4235,P000224,FL000235,3E,Economy,604,8/22/2024,Booked
T0000236,TK4236,P000114,FL000236,55A,Economy,3200,8/23/2024,Booked
T0000237,TK4237,P003958,FL000237,2B,Business,18546,8/24/2024,Booked
T0000238,TK4238,P000234,FL000238,16B,Economy,1446,8/25/2024,Booked
T0000239,TK4239,P001148,FL000239,1A,Economy,1905,8/26/2024,Booked
T0000240,TK4240,P001385,FL000240,20A,Economy,5799,8/27/2024,Booked
T0000241,TK4241,P000621,FL000241,52D,Premium Economy,2461,8/28/2024,Checked-In
T0000242,TK4242,P001045,FL000242,49D,Premium Economy,6882,8/29/2024,Booked
T0000243,TK4243,P000867,FL000243,22F,Premium Economy,1496,8/30/2024,Booked
T0000244,TK4244,P004380,FL000244,4E,Economy,5723,8/31/2024,Booked
T0000245,TK4245,P000195,FL000245,35A,Economy,5500,9/1/2024,Checked-In
T0000246,TK4246,P002304,FL000246,9E,Premium Economy,9435,9/2/2024,Booked
T0000247,TK4247,P000227,FL000247,39E,Economy,4309,9/3/2024,Booked
T0000248,TK4248,P000565,FL000248,27A,Economy,5190,9/4/2024,Cancelled
T0000249,TK4249,P001882,FL000249,15E,Economy,3162,9/5/2024,Booked
T0000250,TK4250,P000338,FL000250,48D,Economy,4975,9/6/2024,Checked-In
T0000251,TK4251,P000376,FL000251,38F,Premium Economy,10028,9/7/2024,Checked-In
T0000252,TK4252,P002643,FL000252,38C,Economy,1259,9/8/2024,Checked-In
T0000253,TK4253,P000069,FL000253,36C,Premium Economy,1973,9/9/2024,Booked
T0000254,TK4254,P000714,FL000254,29B,Premium Economy,2077,9/10/2024,Booked
T0000255,TK4255,P004986,FL000255,48A,Economy,1270,9/11/2024,Checked-In
T0000256,TK4256,P004963,FL000256,42D,Economy,1558,9/12/2024,Booked
T0000257,TK4257,P000070,FL000257,26E,Business,4857,9/13/2024,Cancelled
T0000258,TK4258,P000203,FL000258,52D,Economy,4955,9/14/2024,Booked
T0000259,TK4259,P000255,FL000259,26D,Premium Economy,5863,9/15/2024,Booked
T0000260,TK4260,P004366,FL000260,46A,Economy,3609,9/16/2024,Cancelled
T0000261,TK4261,P003869,FL000261,30E,Economy,5435,9/17/2024,Cancelled
T0000262,TK4262,P003854,FL000262,12A,Economy,2698,9/18/2024,Checked-In
T0000263,TK4263,P000503,FL000263,6E,Economy,996,9/19/2024,Booked
T0000264,TK4264,P000150,FL000264,27C,Economy,5574,9/20/2024,Booked
T0000265,TK4265,P003421,FL000265,42F,Economy,947,9/21/2024,Booked
T0000266,TK4266,P002184,FL000266,7E,Business,20217,9/22/2024,Checked-In
T0000267,TK4267,P001311,FL000267,57E,Economy,5794,9/23/2024,Booked
T0000268,TK4268,P004879,FL000268,20C,Business,2505,9/24/2024,Booked
T0000269,TK4269,P001713,FL000269,22C,Business,20870,9/25/2024,Checked-In
T0000270,TK4270,P000008,FL000270,53C,Business,2712,9/26/2024,Booked
T0000271,TK4271,P003263,FL000271,37B,Economy,6218,9/27/2024,Checked-In
T0000272,TK4272,P000337,FL000272,59A,Premium Economy,1379,9/28/2024,Booked
T0000273,TK4273,P001803,FL000273,45A,Economy,1954,9/29/2024,Booked
T0000274,TK4274,P004420,FL000274,25F,Economy,6246,9/30/2024,Checked-In
T0000275,TK4275,P000128,FL000275,19F,Economy,635,10/1/2024,Booked
T0000276,TK4276,P000110,FL000276,55D,Business,17198,10/2/2024,Booked
T0000277,TK4277,P000102,FL000277,54B,Economy,1295,10/3/2024,Booked
T0000278,TK4278,P000939,FL000278,47B,Economy,5140,10/4/2024,Booked
T0000279,TK4279,P000272,FL000279,51C,Economy,2525,10/5/2024,Booked
T0000280,TK4280,P001246,FL000280,39F,Economy,1804,10/6/2024,Booked
T0000281,TK4281,P002318,FL000281,6E,Economy,5429,10/7/2024,Booked
T0000282,TK4282,P000194,FL000282,39F,Premium Economy,11570,10/8/2024,Booked
T0000283,TK4283,P001526,FL000283,39B,Economy,4395,10/9/2024,Cancelled
T0000284,TK4284,P000252,FL000284,50D,Economy,5182,10/10/2024,Booked
T0000285,TK4285,P000786,FL000285,51D,Economy,1711,10/11/2024,Booked
T0000286,TK4286,P004101,FL000286,5A,Economy,1118,10/12/2024,Booked
T0000287,TK4287,P003538,FL000287,13F,Economy,4467,10/13/2024,Booked
T0000288,TK4288,P000088,FL000288,39F,Economy,5952,10/14/2024,Booked
T0000289,TK4289,P000631,FL000289,55F,Economy,1375,10/15/2024,Booked
T0000290,TK4290,P000283,FL000290,32F,Economy,4776,10/16/2024,Booked
T0000291,TK4291,P000004,FL000291,36E,Economy,4783,10/17/2024,Cancelled
T0000292,TK4292,P002826,FL000292,24A,Business,11166,10/18/2024,Checked-In
T0000293,TK4293,P001553,FL000293,7F,Economy,1131,10/19/2024,Checked-In
T0000294,TK4294,P000249,FL000294,26A,Economy,5073,10/20/2024,Booked
T0000295,TK4295,P002542,FL000295,11C,Economy,3662,10/21/2024,Booked
T0000296,TK4296,P000936,FL000296,2E,Economy,1021,10/22/2024,Booked
T0000297,TK4297,P000641,FL000297,3D,Economy,4736,10/23/2024,Booked
T0000298,TK4298,P000010,FL000298,11A,Economy,1595,10/24/2024,Booked
T0000299,TK4299,P000072,FL000299,44E,Economy,5714,10/25/2024,Booked
T0000300,TK4300,P003890,FL000300,35E,Economy,1399,10/26/2024,Cancelled
T0000301,TK4301,P004088,FL000301,22B,Economy,1657,10/27/2024,Booked
T0000302,TK4302,P000921,FL000302,34E,Economy,695,10/28/2024,Booked
T0000303,TK4303,P003429,FL000303,32D,Economy,1832,10/29/2024,Booked
T0000304,TK4304,P001034,FL000304,28A,Economy,3030,10/30/2024,Booked
T0000305,TK4305,P000141,FL000305,59F,Economy,4892,10/31/2024,Booked
T0000306,TK4306,P000122,FL000306,25B,Economy,4234,11/1/2024,Booked
T0000307,TK4307,P000358,FL000307,24B,Premium Economy,5382,11/2/2024,Booked
T0000308,TK4308,P004041,FL000308,7B,Economy,2046,11/3/2024,Cancelled
T0000309,TK4309,P003064,FL000309,51F,Economy,6241,11/4/2024,Booked
T0000310,TK4310,P003677,FL000310,21C,Economy,5859,11/5/2024,Booked
T0000311,TK4311,P004040,FL000311,12C,Economy,5800,11/6/2024,Booked
T0000312,TK4312,P000200,FL000312,39F,Business,17477,11/7/2024,Booked
T0000313,TK4313,P000238,FL000313,28C,Business,6303,11/8/2024,Checked-In
T0000314,TK4314,P000098,FL000314,12A,Economy,6495,11/9/2024,Booked
T0000315,TK4315,P002912,FL000315,29B,Economy,1390,11/10/2024,Booked
T0000316,TK4316,P003900,FL000316,34C,Economy,6473,11/11/2024,Booked
T0000317,TK4317,P000591,FL000317,21E,Economy,4668,11/12/2024,Booked
T0000318,TK4318,P001397,FL000318,8A,Economy,5884,11/13/2024,Booked
T0000319,TK4319,P000147,FL000319,13F,Business,4265,11/14/2024,Booked
T0000320,TK4320,P004334,FL000320,17A,Economy,1918,11/15/2024,Checked-In
T0000321,TK4321,P003714,FL000321,29E,Economy,1204,11/16/2024,Booked
T0000322,TK4322,P004774,FL000322,47C,Economy,3682,11/17/2024,Booked
T0000323,TK4323,P003203,FL000323,12E,Premium Economy,7511,11/18/2024,Booked
T0000324,TK4324,P003874,FL000324,59F,Economy,2287,11/19/2024,Booked
T0000325,TK4325,P000024,FL000325,8B,Economy,5078,11/20/2024,Booked
T0000326,TK4326,P002498,FL000326,53C,Premium Economy,8622,11/21/2024,Booked
T0000327,TK4327,P000414,FL000327,40E,Economy,2550,11/22/2024,Checked-In
T0000328,TK4328,P004343,FL000328,38E,Premium Economy,1100,11/23/2024,Checked-In
T0000329,TK4329,P003122,FL000329,55E,Economy,3683,11/24/2024,Booked
T0000330,TK4330,P003709,FL000330,59B,Economy,4513,11/25/2024,Booked
T0000331,TK4331,P003203,FL000331,38A,Economy,3830,11/26/2024,Booked
T0000332,TK4332,P000259,FL000332,44F,Economy,6426,11/27/2024,Booked
T0000333,TK4333,P002981,FL000333,38F,Economy,1893,11/28/2024,Booked
T0000334,TK4334,P000103,FL000334,35A,Premium Economy,6269,11/29/2024,Booked
T0000335,TK4335,P003786,FL000335,6C,Economy,784,11/30/2024,Booked
T0000336,TK4336,P003657,FL000336,17C,Economy,4932,12/1/2024,Booked
T0000337,TK4337,P000212,FL000337,50A,Business,24276,12/2/2024,Booked
T0000338,TK4338,P003258,FL000338,32C,Economy,2578,12/3/2024,Booked
T0000339,TK4339,P000719,FL000339,49D,Economy,1946,12/4/2024,Booked
T0000340,TK4340,P000350,FL000340,33D,Economy,6449,12/5/2024,Booked
